number,rider,nation,team,bike
4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati
93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda
46,Valentino ROSSI,ITA,Movistar Yamaha MotoGP,Yamaha
35,Cal CRUTCHLOW,GBR,LCR Honda CASTROL,Honda
9,Danilo PETRUCCI,ITA,Alma Pramac Racing,Ducati
25,Maverick VIÃ‘ALES,SPA,Movistar Yamaha MotoGP,Yamaha
26,Dani PEDROSA,SPA,Repsol Honda Team,Honda
5,Johann ZARCO,FRA,Monster Yamaha Tech 3,Yamaha
29,Andrea IANNONE,ITA,Team SUZUKI ECSTAR,Suzuki
43,Jack MILLER,AUS,Alma Pramac Racing,Ducati
53,Tito RABAT,SPA,Reale Avintia Racing,Ducati
21,Franco MORBIDELLI,ITA,"EG 0,0 Marc VDS",Honda
19,Alvaro BAUTISTA,SPA,Angel Nieto Team,Ducati
55,Hafizh SYAHRIN,MAL,Monster Yamaha Tech 3,Yamaha
17,Karel ABRAHAM,CZE,Angel Nieto Team,Ducati
12,Thomas LUTHI,SWI,"EG 0,0 Marc VDS",Honda
30,Takaaki NAKAGAMI,JPN,LCR Honda IDEMITSU,Honda
38,Bradley SMITH,GBR,Red Bull KTM Factory Racing,KTM
41,Aleix ESPARGARO,SPA,Aprilia Racing Team Gresini,Aprilia
45,Scott REDDING,GBR,Aprilia Racing Team Gresini,Aprilia
10,Xavier SIMEON,BEL,Reale Avintia Racing,Ducati
44,Pol ESPARGARO,SPA,Red Bull KTM Factory Racing,KTM
42,Alex RINS,SPA,Team SUZUKI ECSTAR,Suzuki
99,Jorge LORENZO,SPA,Ducati Team,Ducati